Grupo,Título,Link,ID do Produto,Imagem
blusa,Blusa Cropped Recortes,https://www.farmrio.com.br/blusa-cropped-recortes-azul-sonic-335137-6086/p,151551,https://lojafarm.vteximg.com.br/arquivos/ids/3430011-500-750/335137_6086_1-BLUSA-CROPPED-RECORTES.jpg?v=638605460633100000
blusa,Regata Camila,https://www.farmrio.com.br/regata-camila-azul-krabi-334980-05052/p,150002,https://lojafarm.vteximg.com.br/arquivos/ids/3428573-500-750/334980_05052_1-REGATA-CAMILA.jpg?v=638604130103700000
blusa,Blusa Corselet Pesponto,https://www.farmrio.com.br/blusa-corselet-pesponto-preto-333997-0013/p,150066,https://lojafarm.vteximg.com.br/arquivos/ids/3415183-500-750/333997_0013_1-BLUSA-CORSELET-PESPONTO.jpg?v=638590812346000000
blusa,Blusa Cropped Recortes,https://www.farmrio.com.br/blusa-cropped-recortes-preto-335137-0013/p,151550,https://lojafarm.vteximg.com.br/arquivos/ids/3430001-500-750/335137_0013_1-BLUSA-CROPPED-RECORTES.jpg?v=638605460529000000
blusa,Regata Camila,https://www.farmrio.com.br/regata-camila-preto-338691-0013/p,151525,https://lojafarm.vteximg.com.br/arquivos/ids/3428278-500-750/338691_0013_1-REGATA-CAMILA.jpg?v=638604124767530000
blusa,Regata Cropped Estampada Rendeira,https://www.farmrio.com.br/regata-cropped-estampada-rendeira-rendeira_off-white-333014-48256/p,83347,https://lojafarm.vteximg.com.br/arquivos/ids/3371874-500-750/333014_48256_1-REGATA-CROPPED-ESTAMPADA-RENDEIRA.jpg?v=638521601894430000
blusa,Blusa Estampada Papillon,https://www.farmrio.com.br/blusa-estampada-papillon-est-papillon_preto---338805-49083/p,151566,https://lojafarm.vteximg.com.br/arquivos/ids/3439318-500-750/338805_49083_1-BLUSA-ESTAMPADA-PAPILLON.jpg?v=638636445728700000
blusa,Blusa Rib Babado,https://www.farmrio.com.br/blusa-rib-babado-off-white-331798-0024/p,84045,https://lojafarm.vteximg.com.br/arquivos/ids/3377579-500-750/331798_0024_1-BLUSA-RIB-BABADO.jpg?v=638524988634800000
blusa,Regata Estampada Jardim Tranquilo,https://www.farmrio.com.br/regata-estampada-jardim-tranquilo-jardim-tranquilo_off-white-330019-48233/p,83378,https://lojafarm.vteximg.com.br/arquivos/ids/3365845-500-750/330019_48233_1-REGATA-ESTAMPADA-JARDIM-TRANQUILO.jpg?v=638520957040230000
blusa,Blusa Estampada Naturaleza,https://www.farmrio.com.br/blusa-estampada-naturaleza-est-naturaleza_azul-aspen-330084-48232/p,83520,https://lojafarm.vteximg.com.br/arquivos/ids/3366034-500-750/330084_48232_1-BLUSA-ESTAMPADA-NATURALEZA.jpg?v=638520958929430000
blusa,Regata Estampada Heloísa,https://www.farmrio.com.br/regata-estampada-heloisa-est-heloisa_off-white---329478-48295/p,81851,https://lojafarm.vteximg.com.br/arquivos/ids/3439377-500-750/329478_48295_1-REGATA-ESTAMPADA-HELOISA.jpg?v=638640198108070000
blusa,Blusa Estampada Manu,https://www.farmrio.com.br/blusa-estampada-manu-manu_off-white-330373-48297/p,84435,https://lojafarm.vteximg.com.br/arquivos/ids/3439477-500-750/330373_48297_1-BLUSA-ESTAMPADA-MANU.jpg?v=638640199742100000
blusa,Regata Estampada Borboleta Em Flor,https://www.farmrio.com.br/regata-estampada-borboleta-em-flor-borboleta-em-flor_vermelho-escarlate-333904-48330/p,149028,https://lojafarm.vteximg.com.br/arquivos/ids/3371234-500-750/333904_48330_1-REGATA-ESTAMPADA-BORBOLETA-EM-FLOR.jpg?v=638521010012500000
blusa,Regata Estampada Ravenala,https://www.farmrio.com.br/regata-estampada-ravenala-est-ravenala_verde-alecrim---327284-48292/p,82754,https://lojafarm.vteximg.com.br/arquivos/ids/3365029-500-750/327284_48292_1-REGATA-ESTAMPADA-RAVENALA.jpg?v=638520949805400000
blusa,Bata Nervuras Estampada Aurora Floral,https://www.farmrio.com.br/bata-nervuras-estampada-aurora-floral-est-aurora-floral_verde-absinto---327286-48291/p,82760,https://lojafarm.vteximg.com.br/arquivos/ids/3365079-500-750/327286_48291_1-BATA-NERVURAS-ESTAMPADA-AURORA-FLORAL.jpg?v=638520950253170000
camisa,Camisa Artesanal Laise Concha,https://www.farmrio.com.br/camisa-artesanal-laise-concha-amarelo-java-338548-07467/p,151606,https://lojafarm.vteximg.com.br/arquivos/ids/3441257-500-750/338548_07467_1-CAMISA-ARTESANAL-LAISE-CONCHA.jpg?v=638642538507700000
camisa,Camisa Vestido Estampada Luau Das Onças,https://www.farmrio.com.br/camisa-vestido-estampada-luau-das-oncas-luau-das-oncas_multicolorido-336528-49096/p,150167,https://lojafarm.vteximg.com.br/arquivos/ids/3437299-500-750/336528_49096_1-CAMISA-VESTIDO-ESTAMPADA-LUAU-DAS-ONCAS.jpg?v=638627221159230000
camisa,Camisa Estampada Tucabacana,https://www.farmrio.com.br/camisa-estampada-tucabacana-tucabacana_verde-eletrico-334514-49099/p,149036,https://lojafarm.vteximg.com.br/arquivos/ids/3405027-500-750/334514_49099_1-BLUSA-TUCABACANA.jpg?v=638579702015300000
